date,amount
12/10,403002 
12/9,506574 
12/8,380394 
12/7,2302862 
12/6,3933061 
12/5,1806995 
12/4,482191 
12/3,470685 
12/2,633249 
12/1,612556 
11/30,3847772 
11/29,7230939 
11/28,7738087 
11/27,3032656 
11/26,4165830 
11/25,3273189 
11/24,2184850 
11/23,6126054 
11/22,9548876 
11/21,4449236 
11/20,1150036 
11/19,1162412 
11/18,1692150 
11/17,1310873 
11/16,10274455 
11/15,16404851 
11/14,7983401 
11/13,1883756 
11/12,1876936 
11/11,10508182 
11/10,5159128 
11/9,16356239 
11/8,24050595 
11/7,15809055 
